gene_name	gene_group
C1QA	MarkersMyeloid
C1QB	MarkersMyeloid
C1QC	MarkersMyeloid
CCL18	MarkersMyeloid
CCL2	MarkersMyeloid
CCL25	MarkersMyeloid
CCL3	MarkersMyeloid
CCL3L1	MarkersMyeloid
CCL5	MarkersMyeloid
CCR2	MarkersMyeloid
CCR9	MarkersMyeloid
CD14	MarkersMyeloid
CD141	MarkersMyeloid
CD163	MarkersMyeloid
CD163	MarkersMyeloid
CD1C	MarkersMyeloid
CD2	MarkersMyeloid
CD22	MarkersMyeloid
CD226	MarkersMyeloid
CD274	MarkersMyeloid
CD3E	MarkersMyeloid
CD33	MarkersMyeloid
CD34	MarkersMyeloid
CD36	MarkersMyeloid
CD38	MarkersMyeloid
CD4	MarkersMyeloid
CD40	MarkersMyeloid
CD59	MarkersMyeloid
CD5L	MarkersMyeloid
CD68	MarkersMyeloid
CD74	MarkersMyeloid
CLEC10A	MarkersMyeloid
CLEC4F	MarkersMyeloid
CLEC7A	MarkersMyeloid
CLEC9A	MarkersMyeloid
CLU	MarkersMyeloid
CSF1R	MarkersMyeloid
CSF1R	MarkersMyeloid
CSF2RA	MarkersMyeloid
CSF3R	MarkersMyeloid
CX3CR1	MarkersMyeloid
CXCL10	MarkersMyeloid
CXCL11	MarkersMyeloid
CXCL16	MarkersMyeloid
CXCL2	MarkersMyeloid
CXCL8	MarkersMyeloid
CXCL9	MarkersMyeloid
CXCR1	MarkersMyeloid
CXCR2	MarkersMyeloid
CXCR3	MarkersMyeloid
CYBB	MarkersMyeloid
DAB2	MarkersMyeloid
FAS	MarkersMyeloid
FCER1A	MarkersMyeloid
FCGR2A	MarkersMyeloid
FCGR2B	MarkersMyeloid
FCGR3A	MarkersMyeloid
FCGR3B	MarkersMyeloid
FOS	MarkersMyeloid
FOSB	MarkersMyeloid
FTL	MarkersMyeloid
G0S2	MarkersMyeloid
GAPDH	MarkersMyeloid
GNLY	MarkersMyeloid
GPX1	MarkersMyeloid
GZMA	MarkersMyeloid
GZMB	MarkersMyeloid
GZMH	MarkersMyeloid
HLA-DQA1	MarkersMyeloid
HLA-DQB1	MarkersMyeloid
HLA-DRA	MarkersMyeloid
HLA-DRB1	MarkersMyeloid
HLA-E	MarkersMyeloid
HLA-F	MarkersMyeloid
HMGA1	MarkersMyeloid
HMGB2	MarkersMyeloid
HMOX1	MarkersMyeloid
IFI44L	MarkersMyeloid
IFI6	MarkersMyeloid
IFIT1	MarkersMyeloid
IFITM2	MarkersMyeloid
IFITM3	MarkersMyeloid
IFNB	MarkersMyeloid
IFNG	MarkersMyeloid
IGJ	MarkersMyeloid
IL13RA1	MarkersMyeloid
IL1B	MarkersMyeloid
IL1R2	MarkersMyeloid
IL1RN	MarkersMyeloid
IL2RB	MarkersMyeloid
IL27	MarkersMyeloid
IL32	MarkersMyeloid
IL3RA	MarkersMyeloid
IL4RA	MarkersMyeloid
IL6	MarkersMyeloid
IL7R	MarkersMyeloid
IL8	MarkersMyeloid
IRAK3	MarkersMyeloid
IRF7	MarkersMyeloid
ISG15	MarkersMyeloid
ITGA4	MarkersMyeloid
ITGAE	MarkersMyeloid
ITGAM	MarkersMyeloid
ITGAX	MarkersMyeloid
ITGB2	MarkersMyeloid
ITGB7	MarkersMyeloid
ITM2C	MarkersMyeloid
LAIR2	MarkersMyeloid
LILRB1	MarkersMyeloid
LILRB2	MarkersMyeloid
LILRB5	MarkersMyeloid
LITAF	MarkersMyeloid
LRP1	MarkersMyeloid
LST1	MarkersMyeloid
LTB	MarkersMyeloid
LYZ	MarkersMyeloid
