gene_name	gene_group
IGHV3-35	exclude
IGHV3-36	exclude
IGHV3-37	exclude
IGHV3-38	exclude
IGHVIII-38-1	exclude
IGHV4-39	exclude
IGHV7-40	exclude
IGHVII-40-1	exclude
IGHV3-41	exclude
IGHV3-42	exclude
IGHV3-43	exclude
IGHVII-43-1	exclude
IGHVIII-44	exclude
IGHVIV-44-1	exclude
IGHVII-44-2	exclude
IGHV1-45	exclude
IGHV1-46	exclude
IGHVII-46-1	exclude
IGHV3-47	exclude
IGHVIII-47-1	exclude
IGHV3-48	exclude
IGHV3-49	exclude
IGHVII-49-1	exclude
IGHV3-50	exclude
IGHV5-51	exclude
IGHV8-51-1	exclude
IGHVII-51-2	exclude
IGHV3-52	exclude
IGHV3-53	exclude
IGHVII-53-1	exclude
IGHV3-54	exclude
IGHV4-55	exclude
IGHV7-56	exclude
IGHV3-57	exclude
IGHV1-58	exclude
IGHV4-59	exclude
IGHV3-60	exclude
IGHVII-60-1	exclude
IGHV4-61	exclude
IGHV3-62	exclude
IGHVII-62-1	exclude
IGHV3-63	exclude
IGHV3-64	exclude
IGHV3-65	exclude
IGHVII-65-1	exclude
IGHV3-66	exclude
IGHV1-67	exclude
IGHVII-67-1	exclude
IGHVIII-67-2	exclude
IGHVIII-67-3	exclude
IGHVIII-67-4	exclude
IGHV1-68	exclude
IGHV1-69	exclude
IGHV2-70D	exclude
IGHV3-69-1	exclude
IGHV1-69-2	exclude
IGHV1-69D	exclude
IGHV2-70	exclude
IGHV3-71	exclude
IGHV3-72	exclude
IGHV3-73	exclude
IGHV3-74	exclude
IGHVII-74-1	exclude
IGHV3-75	exclude
IGHV3-76	exclude
IGHVIII-76-1	exclude
IGHV5-78	exclude
IGHVII-78-1	exclude
IGHV3-79	exclude
IGHV4-80	exclude
IGHV7-81	exclude
IGHVIII-82	exclude
IGHV1OR15-9	exclude
IGHV1OR15-2	exclude
IGHV3OR15-7	exclude
IGHD5OR15-5A	exclude
IGHD4OR15-4A	exclude
IGHD3OR15-3A	exclude
IGHD2OR15-2A	exclude
IGHD1OR15-1A	exclude
IGHV1OR15-6	exclude
IGHD5OR15-5B	exclude
IGHD4OR15-4B	exclude
IGHD3OR15-3B	exclude
IGHD2OR15-2B	exclude
IGHD1OR15-1B	exclude
IGHV1OR15-1	exclude
IGHV1OR15-3	exclude
IGHV4OR15-8	exclude
IGHV1OR15-4	exclude
IGHV1OR16-1	exclude
IGHV1OR16-3	exclude
IGHV3OR16-9	exclude
IGHV2OR16-5	exclude
IGHV3OR16-15	exclude
IGHV3OR16-6	exclude
IGHV1OR16-2	exclude
IGHV3OR16-10	exclude
IGHV1OR16-4	exclude
IGHV3OR16-8	exclude
IGHV3OR16-12	exclude
IGHV3OR16-13	exclude
IGHV3OR16-11	exclude
IGHV3OR16-7	exclude
IGLON5	exclude
IGKV1OR22-5	exclude
IGKV2OR22-4	exclude
IGKV2OR22-3	exclude
IGKV3OR22-2	exclude
IGKV1OR22-1	exclude
IGLVI-70	exclude
IGLV4-69	exclude
IGLVI-68	exclude
IGLV10-54	exclude
IGLV10-67	exclude
IGLVIV-66-1	exclude
IGLVV-66	exclude
IGLVIV-65	exclude
IGLVIV-64	exclude
IGLVI-63	exclude
IGLV1-62	exclude
IGLV8-61	exclude
IGLV4-60	exclude
IGLVIV-59	exclude
IGLVV-58	exclude
IGLV6-57	exclude
IGLVI-56	exclude
IGLV11-55	exclude
IGLVIV-53	exclude
IGLV5-52	exclude
IGLV1-51	exclude
IGLV1-50	exclude
IGLV9-49	exclude
IGLV5-48	exclude
IGLV1-47	exclude
IGLV7-46	exclude
IGLV5-45	exclude
IGLV1-44	exclude
IGLV7-43	exclude
IGLVI-42	exclude
IGLVVII-41-1	exclude
IGLV1-41	exclude
IGLV1-40	exclude
IGLVI-38	exclude
IGLV5-37	exclude
IGLV1-36	exclude
IGLV7-35	exclude
IGLV2-34	exclude
IGLV2-33	exclude
IGLV3-32	exclude
IGLV3-31	exclude
IGLV3-30	exclude
IGLV3-29	exclude
IGLV2-28	exclude
IGLV3-27	exclude
IGLV3-26	exclude
IGLVVI-25-1	exclude
IGLV3-25	exclude
IGLV3-24	exclude
IGLV2-23	exclude
IGLVVI-22-1	exclude
IGLV3-22	exclude
IGLV3-21	exclude
IGLVI-20	exclude
IGLV3-19	exclude
IGLV2-18	exclude
IGLV3-17	exclude
IGLV3-16	exclude
IGLV3-15	exclude
IGLV2-14	exclude
IGLV3-13	exclude
IGLV3-12	exclude
IGLV2-11	exclude
IGLV3-10	exclude
IGLV3-9	exclude
IGLV2-8	exclude
IGLV3-7	exclude
IGLV3-6	exclude
IGLV2-5	exclude
IGLV3-4	exclude
IGLV4-3	exclude
IGLV3-2	exclude
IGLV3-1	exclude
IGLL5	exclude
IGLJ1	exclude
IGLJ2	exclude
IGLJ3	exclude
IGLJ4	exclude
IGLJ5	exclude
IGLJ6	exclude
IGLJ7	exclude
IGLL1	exclude
IGLVIVOR22-1	exclude
IGLVIVOR22-2	exclude
IGHV1OR21-1	exclude
HLA-C	exclude
MT-ND1	mt
MT-ND2	mt
MT-CO1	mt
MT-CO2	mt
MT-ATP8	mt
MT-ATP6	mt
MT-CO3	mt
MT-ND3	mt
MT-ND4L	mt
MT-ND4	mt
MT-ND5	mt
MT-ND6	mt
MT-CYB	mt
RPL22	rp
RPL11	rp
RPS6KA1	rp
RPA2	rp
RPS8	rp
RPE65	rp
RPF1	rp
RPAP2	rp
RPL5	rp
RPRD2	rp
RPTN	rp
RPS27	rp
RPS27AP5	rp
RPS6KC1	rp
RPS7	rp
RPS27A	rp
RPIA	rp
RPL31	rp
RPRM	rp
RPE	rp
RPL37A	rp
RPUSD3	rp
RPL32	rp
RPL15	rp
RPSA	rp
RPL14	rp
RPL29	rp
RPP14	rp
RPL24	rp
RPN1	rp
RPL22L1	rp
RPL39L	rp
RPL35A	rp
RPL9	rp
RPL34	rp
RPS3A	rp
RPL37	rp
RPS23	rp
RPS14	rp
RPL26L1	rp
RPP40	rp
RPP21	rp
RPS18	rp
RPS10-NUDT3	rp
RPS10	rp
RPL10A	rp
RPL7L1	rp
RPF2	rp
RPS12	rp
RPS6KA2	rp
RPA3	rp
RP9	rp
RPS6KA3	rp
RPGR	rp
RP2	rp
RPS4X	rp
RPS6KA6	rp
RPA4	rp
RPL36A	rp
RPL36A-HNRNPH2	rp
RPL39	rp
RPL10	rp
RP1L1	rp
RP1	rp
RPS20	rp
RPL7	rp
RPL30	rp
RPL8	rp
RPS6	rp
RPP25L	rp
RPL35	rp
RPL12	rp
RPL7A	rp
RPLP2	rp
RPL27A	rp
RPS13	rp
RPS6KA4	rp
RPS6KB2	rp
RPS3	rp
RPS25	rp
RPUSD4	rp
RPP38	rp
RPS24	rp
RPP30	rp
RPEL1	rp
RPAP3	rp
RPS26	rp
RPL41	rp
RPL6	rp
RPH3A	rp
RPLP0	rp
RPL21	rp
RPGRIP1	rp
RPL10L	rp
RPS29	rp
RPL36AL	rp
RPS6KL1	rp
RPS6KA5	rp
RPUSD2	rp
RPAP1	rp
RPS27L	rp
RPL4	rp
RPLP1	rp
RPP25	rp
RPS17	rp
RPUSD1	rp
RPL3L	rp
RPS2	rp
RPS15A	rp
RPGRIP1L	rp
RPL13	rp
RPH3AL	rp
RPA1	rp
RPAIN	rp
RPL26	rp
RPL23A	rp
RPL23	rp
RPL19	rp
RPL27	rp
RPRML	rp
RPS6KB1	rp
RPL38	rp
RPTOR	rp
RPRD1A	rp
RPL17-C18orf32	rp
RPL17	rp
RPN2	rp
RPRD1B	rp
RPS21	rp
RPS15	rp
RPL36	rp
RPS28	rp
RPL18A	rp
RPS16	rp
RPS19	rp
RPL18	rp
RPL13A	rp
RPS11	rp
RPS9	rp
RPL28	rp
RPS5	rp
RPS4Y1	rp
RPS4Y2	rp
RPL3	rp
RPS19BP1	rp
IGKV1OR1-1	ig
IGKV3OR2-268	ig
IGKJ5	ig
IGKJ4	ig
IGKJ3	ig
IGKJ2	ig
IGKJ1	ig
IGKV4-1	ig
IGKV5-2	ig
IGKV7-3	ig
IGKV2-4	ig
IGKV1-5	ig
IGKV1-6	ig
IGKV3-7	ig
IGKV1-8	ig
IGKV1-9	ig
IGKV2-10	ig
IGKV3-11	ig
IGKV1-12	ig
IGKV1-13	ig
IGKV2-14	ig
IGKV3-15	ig
IGKV1-16	ig
IGKV1-17	ig
IGKV2-18	ig
IGKV2-19	ig
IGKV3-20	ig
IGKV6-21	ig
IGKV1-22	ig
IGKV2-23	ig
IGKV2-24	ig
IGKV3-25	ig
IGKV2-26	ig
IGKV1-27	ig
IGKV2-28	ig
IGKV2-29	ig
IGKV2-30	ig
IGKV3-31	ig
IGKV1-32	ig
IGKV1-33	ig
IGKV3-34	ig
IGKV1-35	ig
IGKV2-36	ig
IGKV1-37	ig
IGKV2-38	ig
IGKV1-39	ig
IGKV2-40	ig
IGKV2D-40	ig
IGKV1D-39	ig
IGKV2D-38	ig
IGKV1D-37	ig
IGKV2D-36	ig
IGKV1D-35	ig
IGKV3D-34	ig
IGKV1D-33	ig
IGKV1D-32	ig
IGKV3D-31	ig
IGKV2D-30	ig
IGKV2D-29	ig
IGKV2D-28	ig
IGKV1D-27	ig
IGKV2D-26	ig
IGKV3D-25	ig
IGKV2D-24	ig
IGKV2D-23	ig
IGKV1D-22	ig
IGKV6D-21	ig
IGKV3D-20	ig
IGKV2D-19	ig
IGKV2D-18	ig
IGKV6D-41	ig
IGKV1D-17	ig
IGKV1D-16	ig
IGKV3D-15	ig
IGKV2D-14	ig
IGKV1D-13	ig
IGKV1D-12	ig
IGKV3D-11	ig
IGKV2D-10	ig
IGKV1D-42	ig
IGKV1D-43	ig
IGKV1D-8	ig
IGKV3D-7	ig
IGKV1OR2-118	ig
IGKV1OR2-1	ig
IGKV2OR2-1	ig
IGKV2OR2-2	ig
IGKV1OR2-3	ig
IGKV1OR2-9	ig
IGKV2OR2-10	ig
IGKV2OR2-7D	ig
IGKV3OR2-5	ig
IGKV1OR2-6	ig
IGKV2OR2-7	ig
IGKV2OR2-8	ig
IGKV1OR2-11	ig
IGKV1OR2-108	ig
IGLV8OR8-1	ig
IGKV1OR9-2	ig
IGKV1OR-2	ig
IGKV1OR9-1	ig
IGKV1OR-3	ig
IGKV1OR10-1	ig
IGHJ6	ig
IGHJ3P	ig
IGHJ5	ig
IGHJ4	ig
IGHJ3	ig
IGHJ2P	ig
IGHJ2	ig
IGHJ1	ig
IGHD7-27	ig
IGHJ1P	ig
IGHD1-26	ig
IGHD6-25	ig
IGHD5-24	ig
IGHD4-23	ig
IGHD3-22	ig
IGHD2-21	ig
IGHD1-20	ig
IGHD6-19	ig
IGHD5-18	ig
IGHD4-17	ig
IGHD3-16	ig
IGHD2-15	ig
IGHD1-14	ig
IGHD6-13	ig
IGHD5-12	ig
IGHD4-11	ig
IGHD3-10	ig
IGHD3-9	ig
IGHD2-8	ig
IGHD1-7	ig
IGHD6-6	ig
IGHD5-5	ig
IGHD4-4	ig
IGHD3-3	ig
IGHD2-2	ig
IGHD1-1	ig
IGHV6-1	ig
IGHVII-1-1	ig
IGHV1-2	ig
IGHVIII-2-1	ig
IGHV1-3	ig
IGHV4-4	ig
IGHV7-4-1	ig
IGHV2-5	ig
IGHVIII-5-1	ig
IGHVIII-5-2	ig
IGHV3-6	ig
IGHV3-7	ig
IGHV3-64D	ig
IGHV5-10-1	ig
IGHV3-11	ig
IGHVIII-11-1	ig
IGHV1-12	ig
IGHV3-13	ig
IGHVIII-13-1	ig
IGHV1-14	ig
IGHV3-15	ig
IGHVII-15-1	ig
IGHV3-16	ig
IGHVIII-16-1	ig
IGHV1-17	ig
IGHV1-18	ig
IGHV3-19	ig
IGHV3-20	ig
IGHV3-21	ig
IGHV3-22	ig
IGHVII-22-1	ig
IGHVIII-22-2	ig
IGHV3-23	ig
IGHV1-24	ig
IGHV3-25	ig
IGHVIII-25-1	ig
IGHV2-26	ig
IGHVIII-26-1	ig
IGHVII-26-2	ig
IGHV7-27	ig
IGHV4-28	ig
IGHVII-28-1	ig
IGHV3-32	ig
IGHV3-30	ig
IGHVII-30-1	ig
IGHV3-30-2	ig
IGHV4-31	ig
IGHVII-30-21	ig
IGHV3-29	ig
IGHV3-33	ig
IGHVII-33-1	ig
IGHV3-33-2	ig
IGHV4-34	ig
IGHV7-34-1	ig
IGHV3-35	ig
IGHV3-36	ig
IGHV3-37	ig
IGHV3-38	ig
IGHVIII-38-1	ig
IGHV4-39	ig
IGHV7-40	ig
IGHVII-40-1	ig
IGHV3-41	ig
IGHV3-42	ig
IGHV3-43	ig
IGHVII-43-1	ig
IGHVIII-44	ig
IGHVIV-44-1	ig
IGHVII-44-2	ig
IGHV1-45	ig
IGHV1-46	ig
IGHVII-46-1	ig
IGHV3-47	ig
IGHVIII-47-1	ig
IGHV3-48	ig
IGHV3-49	ig
IGHVII-49-1	ig
IGHV3-50	ig
IGHV5-51	ig
IGHV8-51-1	ig
IGHVII-51-2	ig
IGHV3-52	ig
IGHV3-53	ig
IGHVII-53-1	ig
IGHV3-54	ig
IGHV4-55	ig
IGHV7-56	ig
IGHV3-57	ig
IGHV1-58	ig
IGHV4-59	ig
IGHV3-60	ig
IGHVII-60-1	ig
IGHV4-61	ig
IGHV3-62	ig
IGHVII-62-1	ig
IGHV3-63	ig
IGHV3-64	ig
IGHV3-65	ig
IGHVII-65-1	ig
IGHV3-66	ig
IGHV1-67	ig
IGHVII-67-1	ig
IGHVIII-67-2	ig
IGHVIII-67-3	ig
IGHVIII-67-4	ig
IGHV1-68	ig
IGHV1-69	ig
IGHV2-70D	ig
IGHV3-69-1	ig
IGHV1-69-2	ig
IGHV1-69D	ig
IGHV2-70	ig
IGHV3-71	ig
IGHV3-72	ig
IGHV3-73	ig
IGHV3-74	ig
IGHVII-74-1	ig
IGHV3-75	ig
IGHV3-76	ig
IGHVIII-76-1	ig
IGHV5-78	ig
IGHVII-78-1	ig
IGHV3-79	ig
IGHV4-80	ig
IGHV7-81	ig
IGHVIII-82	ig
IGHV1OR15-9	ig
IGHV1OR15-2	ig
IGHV3OR15-7	ig
IGHD5OR15-5A	ig
IGHD4OR15-4A	ig
IGHD3OR15-3A	ig
IGHD2OR15-2A	ig
IGHD1OR15-1A	ig
IGHV1OR15-6	ig
IGHD5OR15-5B	ig
IGHD4OR15-4B	ig
IGHD3OR15-3B	ig
IGHD2OR15-2B	ig
IGHD1OR15-1B	ig
IGHV1OR15-1	ig
IGHV1OR15-3	ig
IGHV4OR15-8	ig
IGHV1OR15-4	ig
IGHV1OR16-1	ig
IGHV1OR16-3	ig
IGHV3OR16-9	ig
IGHV2OR16-5	ig
IGHV3OR16-15	ig
IGHV3OR16-6	ig
IGHV1OR16-2	ig
IGHV3OR16-10	ig
IGHV1OR16-4	ig
IGHV3OR16-8	ig
IGHV3OR16-12	ig
IGHV3OR16-13	ig
IGHV3OR16-11	ig
IGHV3OR16-7	ig
IGLON5	ig
IGKV1OR22-5	ig
IGKV2OR22-4	ig
IGKV2OR22-3	ig
IGKV3OR22-2	ig
IGKV1OR22-1	ig
IGLVI-70	ig
IGLV4-69	ig
IGLVI-68	ig
IGLV10-54	ig
IGLV10-67	ig
IGLVIV-66-1	ig
IGLVV-66	ig
IGLVIV-65	ig
IGLVIV-64	ig
IGLVI-63	ig
IGLV1-62	ig
IGLV8-61	ig
IGLV4-60	ig
IGLVIV-59	ig
IGLVV-58	ig
IGLV6-57	ig
IGLVI-56	ig
IGLV11-55	ig
IGLVIV-53	ig
IGLV5-52	ig
IGLV1-51	ig
IGLV1-50	ig
IGLV9-49	ig
IGLV5-48	ig
IGLV1-47	ig
IGLV7-46	ig
IGLV5-45	ig
IGLV1-44	ig
IGLV7-43	ig
IGLVI-42	ig
IGLVVII-41-1	ig
IGLV1-41	ig
IGLV1-40	ig
IGLVI-38	ig
IGLV5-37	ig
IGLV1-36	ig
IGLV7-35	ig
IGLV2-34	ig
IGLV2-33	ig
IGLV3-32	ig
IGLV3-31	ig
IGLV3-30	ig
IGLV3-29	ig
IGLV2-28	ig
IGLV3-27	ig
IGLV3-26	ig
IGLVVI-25-1	ig
IGLV3-25	ig
IGLV3-24	ig
IGLV2-23	ig
IGLVVI-22-1	ig
IGLV3-22	ig
IGLV3-21	ig
IGLVI-20	ig
IGLV3-19	ig
IGLV2-18	ig
IGLV3-17	ig
IGLV3-16	ig
IGLV3-15	ig
IGLV2-14	ig
IGLV3-13	ig
IGLV3-12	ig
IGLV2-11	ig
IGLV3-10	ig
IGLV3-9	ig
IGLV2-8	ig
IGLV3-7	ig
IGLV3-6	ig
IGLV2-5	ig
IGLV3-4	ig
IGLV4-3	ig
IGLV3-2	ig
IGLV3-1	ig
IGLL5	ig
IGLJ1	ig
IGLJ2	ig
IGLJ3	ig
IGLJ4	ig
IGLJ5	ig
IGLJ6	ig
IGLJ7	ig
IGLL1	ig
IGLVIVOR22-1	ig
IGLVIVOR22-2	ig
IGHV1OR21-1	ig
