mod,feature,group
rna,Cd8b1,CD8cytotoxic
rna,Cd8a,CD8cytotoxic
rna,Adgrg5,CD8cytotoxic
rna,Klrd1,CD8cytotoxic
rna,Itgae,CD8cytotoxic
rna,Fam241a,CD8cytotoxic
rna,Ccr9,CD8cytotoxic
rna,Trbv14,CD8cytotoxic
rna,Nkg7,CD8cytotoxic
rna,Cd226,CD8cytotoxic
